+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                              ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                          ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; chatbot_qsystem|mm_interconnect_0|crosser_002|clock_xer                                                                                                                                            ; 119   ; 0              ; 0            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|crosser_002                                                                                                                                                      ; 121   ; 2              ; 0            ; 2              ; 115    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|crosser_001|clock_xer|out_to_in_synchronizer                                                                                                                     ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|crosser_001|clock_xer|in_to_out_synchronizer                                                                                                                     ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|crosser_001|clock_xer                                                                                                                                            ; 119   ; 0              ; 0            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|crosser_001                                                                                                                                                      ; 121   ; 2              ; 0            ; 2              ; 115    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|crosser|clock_xer|out_to_in_synchronizer                                                                                                                         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|crosser|clock_xer|in_to_out_synchronizer                                                                                                                         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|crosser|clock_xer                                                                                                                                                ; 119   ; 0              ; 0            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|crosser                                                                                                                                                          ; 121   ; 2              ; 0            ; 2              ; 115    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|sdram_s1_cmd_width_adapter                                                                                                                                       ; 120   ; 3              ; 0            ; 3              ; 88     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|sdram_s1_rsp_width_adapter|uncompressor                                                                                                                          ; 43    ; 4              ; 0            ; 4              ; 34     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|sdram_s1_rsp_width_adapter                                                                                                                                       ; 93    ; 3              ; 0            ; 3              ; 115    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|rsp_mux_001|arb|adder                                                                                                                                            ; 24    ; 12             ; 0            ; 12             ; 12     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|rsp_mux_001|arb                                                                                                                                                  ; 10    ; 0              ; 4            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|rsp_mux_001                                                                                                                                                      ; 687   ; 0              ; 0            ; 0              ; 120    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|rsp_mux|arb|adder                                                                                                                                                ; 32    ; 16             ; 0            ; 16             ; 16     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|rsp_mux|arb                                                                                                                                                      ; 12    ; 0              ; 4            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|rsp_mux                                                                                                                                                          ; 915   ; 0              ; 0            ; 0              ; 122    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|rsp_demux_007                                                                                                                                                    ; 117   ; 1              ; 2            ; 1              ; 115    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|rsp_demux_006                                                                                                                                                    ; 118   ; 4              ; 2            ; 4              ; 229    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|rsp_demux_005                                                                                                                                                    ; 118   ; 4              ; 2            ; 4              ; 229    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|rsp_demux_004                                                                                                                                                    ; 118   ; 4              ; 2            ; 4              ; 229    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|rsp_demux_003                                                                                                                                                    ; 118   ; 4              ; 2            ; 4              ; 229    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|rsp_demux_002                                                                                                                                                    ; 118   ; 4              ; 2            ; 4              ; 229    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|rsp_demux_001                                                                                                                                                    ; 118   ; 4              ; 2            ; 4              ; 229    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|rsp_demux                                                                                                                                                        ; 117   ; 1              ; 2            ; 1              ; 115    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_007                                                                                                                                                      ; 117   ; 0              ; 2            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_006|arb|adder                                                                                                                                            ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_006|arb                                                                                                                                                  ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_006                                                                                                                                                      ; 231   ; 0              ; 0            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_005|arb|adder                                                                                                                                            ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_005|arb                                                                                                                                                  ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_005                                                                                                                                                      ; 231   ; 0              ; 0            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_004|arb|adder                                                                                                                                            ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_004|arb                                                                                                                                                  ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_004                                                                                                                                                      ; 231   ; 0              ; 0            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_003|arb|adder                                                                                                                                            ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_003|arb                                                                                                                                                  ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_003                                                                                                                                                      ; 231   ; 0              ; 0            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_002|arb|adder                                                                                                                                            ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_002|arb                                                                                                                                                  ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_002                                                                                                                                                      ; 231   ; 0              ; 0            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_001|arb|adder                                                                                                                                            ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_001|arb                                                                                                                                                  ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux_001                                                                                                                                                      ; 231   ; 0              ; 0            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_mux                                                                                                                                                          ; 117   ; 0              ; 2            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_demux_001                                                                                                                                                    ; 122   ; 36             ; 2            ; 36             ; 685    ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|cmd_demux                                                                                                                                                        ; 124   ; 64             ; 2            ; 64             ; 913    ; 64              ; 64            ; 64              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|sdram_s1_burst_adapter|altera_merlin_burst_adapter_uncompressed_only.burst_adapter                                                                               ; 90    ; 3              ; 5            ; 3              ; 88     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|sdram_s1_burst_adapter                                                                                                                                           ; 90    ; 0              ; 0            ; 0              ; 88     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_009|the_default_decode                                                                                                                                    ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_009                                                                                                                                                       ; 109   ; 0              ; 2            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_008|the_default_decode                                                                                                                                    ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_008                                                                                                                                                       ; 82    ; 0              ; 2            ; 0              ; 88     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_007|the_default_decode                                                                                                                                    ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_007                                                                                                                                                       ; 109   ; 0              ; 2            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_006|the_default_decode                                                                                                                                    ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_006                                                                                                                                                       ; 109   ; 0              ; 2            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_005|the_default_decode                                                                                                                                    ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_005                                                                                                                                                       ; 109   ; 0              ; 2            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_004|the_default_decode                                                                                                                                    ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_004                                                                                                                                                       ; 109   ; 0              ; 2            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_003|the_default_decode                                                                                                                                    ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_003                                                                                                                                                       ; 109   ; 0              ; 2            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_002|the_default_decode                                                                                                                                    ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_002                                                                                                                                                       ; 109   ; 0              ; 2            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_001|the_default_decode                                                                                                                                    ; 0     ; 11             ; 0            ; 11             ; 11     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router_001                                                                                                                                                       ; 109   ; 0              ; 5            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router|the_default_decode                                                                                                                                        ; 0     ; 11             ; 0            ; 11             ; 11     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|router                                                                                                                                                           ; 109   ; 0              ; 5            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|timer_s1_agent_rsp_fifo                                                                                                                                          ; 149   ; 39             ; 0            ; 39             ; 108    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|timer_s1_agent|uncompressor                                                                                                                                      ; 43    ; 1              ; 0            ; 1              ; 41     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|timer_s1_agent                                                                                                                                                   ; 299   ; 39             ; 45           ; 39             ; 321    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|sdram_s1_agent_rdata_fifo                                                                                                                                        ; 55    ; 41             ; 0            ; 41             ; 12     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|sdram_s1_agent_rsp_fifo                                                                                                                                          ; 122   ; 39             ; 0            ; 39             ; 81     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|sdram_s1_agent|uncompressor                                                                                                                                      ; 43    ; 1              ; 0            ; 1              ; 41     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|sdram_s1_agent                                                                                                                                                   ; 197   ; 13             ; 21           ; 13             ; 214    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|onchip_memory2_0_s1_agent_rsp_fifo                                                                                                                               ; 149   ; 39             ; 0            ; 39             ; 108    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|onchip_memory2_0_s1_agent|uncompressor                                                                                                                           ; 43    ; 1              ; 0            ; 1              ; 41     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|onchip_memory2_0_s1_agent                                                                                                                                        ; 299   ; 39             ; 45           ; 39             ; 321    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|sdram_pll_pll_slave_agent_rsp_fifo                                                                                                                               ; 149   ; 39             ; 0            ; 39             ; 108    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|sdram_pll_pll_slave_agent|uncompressor                                                                                                                           ; 43    ; 1              ; 0            ; 1              ; 41     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|sdram_pll_pll_slave_agent                                                                                                                                        ; 299   ; 39             ; 45           ; 39             ; 321    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_agent_rsp_fifo                                                                                                                      ; 149   ; 39             ; 0            ; 39             ; 108    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_agent|uncompressor                                                                                                                  ; 43    ; 1              ; 0            ; 1              ; 41     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_agent                                                                                                                               ; 299   ; 39             ; 45           ; 39             ; 321    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; chatbot_qsystem|mm_interconnect_0|sysid_qsys_0_control_slave_agent_rsp_fifo                                                                                                                        ; 149   ; 39             ; 0            ; 39             ; 108    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
